date;minimum;median;maximum;items
2020-03-28;2467.61;3684.38;5634.2;180
2020-04-05;2543.1;3797.39;5817.15;180
2020-04-18;2499.48;3748.76;5742.24;180
2020-04-25;2510.26;3752.2;5762.74;180
2020-05-09;2461.59;3689.41;5700.12;180
2020-05-16;2483.67;3710.66;5735.26;180
2020-05-22;2491;3696;5809;180
2020-05-31;2465;3652;5732;180
2020-06-07;2446.84;3622.77;5682.89;180
2020-06-17;2452.21;3626.35;5716.38;181
2020-06-25;2463.62;3647.19;5731.05;181
2020-07-05;2468.45;3651.24;5725.36;181
2020-07-12;2432.31;2656.08;5711.53;181
2020-07-25;2369.82;3550.93;5569.65;181
2020-08-07;2332.15;3471.16;5636.5;181
2020-08-31;2370.89;3520.68;5731.78;181
2020-09-09;2410.9;3578.62;5829.87;182
2020-10-03;2395.22;3591.76;5824.77;183
2020-10-11;2004.39;3591.2;5856.72;184
2020-10-17;2399;3597.82;5871.92;184
2020-10-26;2411.61;3598.82;5847.92;184
2020-11-03;2458.7;3661.85;5976.05;184
2020-11-10;2422.08;3612;5891.14;184
2020-11-16;2404.26;3585.3;5855.37;184
2020-11-25;2409.12;3587.26;5835.88;184
2020-11-28;2413.44;3593.34;5857.26;184
2020-12-05;2346.6;3512.59;5728.53;184
2020-12-12;2373.07;3577.07;5792.34;184
2020-12-19;2351.09;3548.52;5751.83;186
2020-12-29;2351.73;3560.01;5792.53;186
2021-01-01;2346;3590;5832;186
2021-01-06;2317.07;3554.8;5781.3;186
2021-01-14;2351.05;3609.87;5884.03;186
2021-01-21;2353.33;3619.79;5900.88;186
2021-02-6;2290.4;3714.48;6019.43;186

2021-02-13;2294.31;3716.39;6031.05;187
2021-02-14;2294.31;3716.39;6031.05;187
2021-02-15;2266.67;3671.61;5958.39;187
2021-02-16;2267.7;3670.46;5958.54;187
2021-02-17;2295.35;3715.23;6031.82;187
2021-02-18;2303.58;3735.92;6072.48;187
2021-02-19;2303.58;3735.92;6072.48;187
2021-02-20;2303.66;3741.15;6064.61;187
2021-02-21;2303.56;3741.74;6061.41;187
2021-02-22;2294.31;3726.72;6037.07;187
2021-02-23;2276.28;3697.27;5988.77;187
2021-02-24;2276.32;3697.81;5989.39;187
2021-02-25;2276.31;3697.8;5989.38;187
2021-02-26;2276.31;3697.8;5989.38;187
2021-02-27;2304.07;3742.43;6062.42;187
2021-02-28;2305.6;3747.16;6062.24;187
2021-03-01;2325.51;3767.18;6088.73;188
2021-03-02;2321.36;3767.74;6140.56;188
2021-03-03;2313.3;3768.31;6143.59;188
2021-03-04;2316.75;3772.81;6163.58;188
2021-03-05;2342.17;3822.83;6287.92;188
2021-03-06;2350.62;3829.23;6290.73;189
2021-03-07;2350.68;3829.27;6289.54;189
2021-03-08;2354.5;3834.95;6311.59;190
2021-03-09;2354.5;3836.63;6318.39;190
2021-03-10;2384.11;3871.9;6373.05;192
2021-03-11;2382.49;3871.28;6373.05;192
2021-03-12;2373.04;3856.5;6347.77;192
2021-03-13;2382.6;3871.87;6372.48;192
2021-03-14;2381.99;3872.36;6373.02;192
2021-03-15;2385.39;3874.24;6332.95;192
2021-03-16;2385.39;3874.98;6334.38;192
2021-03-17;2385.39;3873.98;6334.38;192
2021-03-18;2385.4;3873.99;6334.4;192
2021-03-19;2385.4;3873.99;6334.4;192
2021-03-20;2414.31;3903.63;6352.85;192
2021-03-21;2413.81;3904.73;6351.86;192
2021-03-22;2419.29;3915.18;6361.88;193
2021-03-23;2420.7;3924.66;6369.0;194
2021-03-24;2420.7;3924.65;6369.0;194
2021-03-25;2449.49;3970.7;6464.02;194
2021-03-26;2451.83;3969.61;6467.62;194
2021-03-27;2451.83;3970.3;6467.28;194
2021-03-28;2451.72;3967.51;6465.65;194
2021-03-30;2452.32;3967.57;6467.1;194
2021-03-30;2452.32;3966.87;6470.65;194
2021-03-31;2486.48;4001.53;6504.65;194
2021-04-01;2486.81;4000.25;6503.59;194
2021-04-02;2488.73;4002.3;6505.89;194
2021-04-03;2491.63;4005.53;6509.65;194
2021-04-04;2491.63;4005.53;6509.65;194
2021-04-05;2489.34;4041.82;6492.37;194
2021-04-06;2488.02;4035.34;6461.76;194
2021-04-07;2458.74;3987.81;6384.92;194
2021-04-08;2458.75;3987.83;6384.94;194
2021-04-09;2458.78;3988.41;6386.03;194
2021-04-10;2457.65;3990.07;6384.23;194
2021-04-11;2461.46;3991.98;6381.97;194
2021-04-12;2461.46;3991.98;6381.97;197
2021-04-13;2461.46;3991.98;6381.97;197
2021-04-14;2461.46;3991.61;6381.97;197
2021-04-15;2479.34;3992.44;6382.79;197
2021-04-16;2479.16;3990.76;6381.83;197
2021-04-17;2449.66;3943.26;6305.88;197
2021-04-18;2449.66;3943.08;6305.05;197
2021-04-19;2479.17;3993.12;6379.48;197
2021-04-20;2450.14;3951.83;6305.17;197
2021-04-21;2449.41;3953.11;6304.62;197
2021-04-22;2460.9;3967.2;6325.07;198
2021-04-23;2460.9;3967.6;6325.07;198
2021-04-24;2454.09;3966.49;6326.82;198
2021-04-25;2450.86;3968.76;6337.06;198
2021-04-26;2451.75;3998.22;6423.37;198
2021-04-27;2451.86;3999.77;6418.87;198
2021-04-28;2452.08;4004.03;6425.4;198
2021-04-29;2422.54;3955.42;6343.95;198
2021-04-30;2452.57;4003.69;6422.34;198
2021-05-01;2452.53;4004.86;6422.65;198
2021-05-02;2453.14;4004.93;6403.08;198
2021-05-03;2488.83;4041.46;6446.51;198
2021-05-04;2500.03;4048.37;6450.09;198
